Date,Open,High,Low,Close,Volume,Adj Close
2016-03-21,21.219999,23.700001,21.00,23.299999,4163400,23.299999
2016-03-18,19.65,21.15,19.450001,20.889999,2160900,20.889999
2016-03-17,21.08,22.870001,19.35,19.82,4301600,19.82
2016-03-16,22.99,23.200001,21.35,21.73,1452500,21.73
2016-03-15,20.809999,22.75,20.40,22.07,2935300,22.07
2016-03-14,23.49,23.90,21.889999,23.25,3609000,23.25
2016-03-11,22.66,23.75,21.799999,23.049999,3513200,23.049999
2016-03-10,24.209999,26.620001,23.50,23.559999,3255200,23.559999
2016-03-09,26.93,27.559999,24.610001,25.48,2537100,25.48
2016-03-08,28.23,29.540001,27.00,27.68,1269100,27.68
2016-03-07,30.23,30.629999,26.23,27.459999,2580900,27.459999
2016-03-04,31.82,32.130001,29.73,30.01,2829900,30.01
2016-03-03,31.969999,32.279999,28.90,32.119999,3724300,32.119999
2016-03-02,29.67,30.40,27.719999,30.200001,2817200,30.200001
2016-03-01,28.32,29.58,25.110001,26.83,3801900,26.83
2016-02-29,28.66,28.950001,27.200001,28.90,3451400,28.90
2016-02-26,25.60,27.440001,24.690001,25.02,3728500,25.02
2016-02-25,24.60,26.66,24.43,25.290001,4489600,25.290001
2016-02-24,23.58,23.799999,22.23,23.309999,2659400,23.309999
2016-02-23,22.450001,23.870001,22.43,23.43,4057800,23.43
2016-02-22,22.360001,22.82,21.280001,22.24,4831000,22.24
2016-02-19,20.790001,22.360001,20.780001,22.120001,5324500,22.120001
2016-02-18,19.549999,20.35,18.67,20.280001,5811700,20.280001
2016-02-17,19.459999,19.559999,17.57,17.83,4390000,17.83
2016-02-16,19.33,19.860001,18.85,18.91,4772500,18.91
2016-02-12,17.309999,18.00,17.24,17.52,4575000,17.52
2016-02-11,15.67,17.219999,15.33,16.93,4867300,16.93
2016-02-10,15.67,16.35,15.57,15.72,4756000,15.72
2016-02-09,14.68,15.13,14.22,14.97,2802600,14.97
2016-02-08,13.71,14.77,13.35,14.26,3251700,14.26
2016-02-05,16.610001,16.73,15.42,15.89,3664700,15.89
2016-02-04,17.889999,18.620001,16.889999,17.780001,5628700,17.780001
2016-02-03,17.030001,17.74,15.93,16.209999,4529300,16.209999
2016-02-02,17.280001,17.879999,16.40,16.549999,7227000,16.549999
2016-02-01,14.17,14.75,14.11,14.47,4528500,14.47
2016-01-29,12.52,12.73,11.84,11.86,5600900,11.86
2016-01-28,16.02,16.209999,13.53,13.54,5477700,13.54
2016-01-27,14.56,15.35,13.78,15.07,4146000,15.07
2016-01-26,14.80,15.75,14.33,14.93,2980400,14.93
2016-01-25,16.049999,16.48,14.59,15.29,5310200,15.29
2016-01-22,15.34,15.58,14.57,14.88,5024900,14.88
2016-01-21,15.15,16.299999,14.11,14.86,5044300,14.86
2016-01-20,15.61,16.540001,15.10,15.34,2816600,15.34
2016-01-19,14.68,16.18,14.63,16.049999,4834800,16.049999
2016-01-15,14.92,15.87,14.90,15.45,4784700,15.45
2016-01-14,13.50,14.76,13.16,14.57,6898100,14.57
2016-01-13,12.84,12.91,11.89,12.48,3350800,12.48
2016-01-12,12.36,13.22,12.17,12.93,5626300,12.93
2016-01-11,10.91,11.54,10.90,11.36,4423500,11.36
2016-01-08,11.20,11.32,9.91,10.12,5105200,10.12
2016-01-07,12.98,13.02,10.68,11.45,9105900,11.45
2016-01-06,12.54,13.95,12.02,13.27,6628400,13.27
2016-01-05,13.65,13.67,12.34,12.56,6661900,12.56
2016-01-04,12.11,13.28,11.82,13.05,6374100,13.05
2015-12-31,12.64,13.07,11.60,12.52,12137700,12.52
2015-12-30,14.22,15.27,13.85,13.95,8329300,13.95
2015-12-29,12.53,13.38,12.14,13.22,12485400,13.22
2015-12-28,17.209999,17.459999,14.51,14.57,9938900,14.57
2015-12-24,19.690001,21.110001,19.41,20.00,3028500,20.00
2015-12-23,24.07,24.790001,20.26,20.92,4341100,20.92
2015-12-22,24.42,24.620001,22.870001,23.620001,3618500,23.620001
2015-12-21,25.889999,26.25,21.85,22.66,7383700,22.66
2015-12-18,27.10,28.799999,26.889999,28.18,4186100,28.18
2015-12-17,26.85,28.49,25.60,28.389999,4752800,28.389999
2015-12-16,27.440001,29.440001,25.76,26.860001,5111400,26.860001
2015-12-15,26.17,28.469999,26.059999,28.299999,4404500,28.299999
2015-12-14,24.85,25.68,24.469999,24.690001,3966700,24.690001
2015-12-11,22.200001,22.65,21.309999,22.33,3181500,22.33
2015-12-10,20.469999,21.42,18.809999,21.40,6150300,21.40
2015-12-09,19.049999,20.26,18.610001,19.83,2685100,19.83
2015-12-08,20.09,20.620001,19.139999,19.42,3088800,19.42
2015-12-07,18.24,19.780001,18.15,19.610001,4317700,19.610001
2015-12-04,16.889999,17.290001,16.65,16.969999,1622700,16.969999
2015-12-03,18.10,18.10,16.540001,16.83,4402300,16.83
2015-12-02,16.67,17.639999,16.60,17.24,4207200,17.24
2015-12-01,15.73,16.74,15.36,15.98,3476200,15.98
2015-11-30,16.209999,16.299999,15.56,16.040001,2217200,16.040001
2015-11-27,15.98,16.51,15.76,16.059999,3233700,16.059999
2015-11-25,14.85,15.14,13.81,14.73,4406600,14.73
2015-11-24,15.22,15.29,14.03,14.46,4077700,14.46
2015-11-23,14.59,14.95,13.78,14.21,4980300,14.21
2015-11-20,14.05,14.96,13.95,14.86,8181200,14.86
2015-11-19,12.17,13.26,11.60,13.25,7414700,13.25
2015-11-18,11.42,12.02,11.31,11.94,3214200,11.94
2015-11-17,11.96,12.07,11.05,11.37,4544600,11.37
2015-11-16,11.45,11.56,10.75,11.42,5958800,11.42
2015-11-13,12.04,12.32,11.24,11.25,5675300,11.25
2015-11-12,12.75,12.91,12.28,12.33,4958200,12.33
2015-11-11,11.91,12.76,11.77,12.40,4534500,12.40
2015-11-10,11.56,12.01,11.39,11.92,4154200,11.92
2015-11-09,12.15,12.71,12.09,12.25,7157700,12.25
2015-11-06,11.96,12.09,10.94,11.67,5734300,11.67
2015-11-05,12.37,12.50,11.10,11.31,9160100,11.31
2015-11-04,12.55,13.31,12.23,13.00,5601800,13.00
2015-11-03,13.57,13.64,12.72,13.05,6070800,13.05
2015-11-02,13.42,13.59,13.01,13.32,3817900,13.32
2015-10-30,14.07,14.09,12.01,12.21,11552600,12.21
2015-10-29,12.15,13.78,11.52,13.45,11184500,13.45
2015-10-28,12.73,13.26,12.47,12.77,10818200,12.77
2015-10-27,11.65,11.94,10.94,11.66,9199200,11.66
2015-10-26,11.05,12.05,11.04,11.64,14966500,11.64
2015-10-23,9.87,10.32,9.74,10.13,6988700,10.13
2015-10-22,9.07,9.53,8.76,9.30,7399200,9.30
2015-10-21,8.84,9.21,8.82,9.04,6945600,9.04
2015-10-20,8.26,8.49,8.15,8.29,3756700,8.29
2015-10-19,8.46,8.59,8.22,8.51,3030200,8.51
2015-10-16,8.42,8.66,8.40,8.62,3456100,8.62
2015-10-15,7.58,8.32,7.48,8.20,6120900,8.20
2015-10-14,7.92,8.10,7.71,7.77,5428600,7.77
2015-10-13,7.89,8.08,7.57,7.97,5266200,7.97
2015-10-12,7.84,7.96,7.64,7.69,4005700,7.69
2015-10-09,8.04,8.13,7.84,7.87,3954400,7.87
2015-10-08,8.10,8.20,7.78,8.14,6064500,8.14
2015-10-07,7.85,8.32,7.72,8.24,8171600,8.24
2015-10-06,8.58,8.63,8.17,8.33,5774400,8.33
2015-10-05,8.44,8.63,8.12,8.44,7582100,8.44
2015-10-02,8.82,8.90,8.40,8.53,5532000,8.53
2015-10-01,8.23,8.87,8.04,8.74,8647400,8.74
2015-09-30,7.37,7.99,7.37,7.82,7864600,7.82
2015-09-29,7.13,7.38,7.04,7.34,4792600,7.34
2015-09-28,6.38,6.90,6.37,6.74,8727000,6.74
2015-09-25,6.97,7.26,6.97,7.04,6028800,7.04
2015-09-24,7.04,7.34,6.69,6.74,10906800,6.74
2015-09-23,6.91,7.08,6.80,7.00,4137400,7.00
2015-09-22,6.95,7.01,6.84,6.99,2782300,6.99
2015-09-21,7.03,7.05,6.80,6.96,4286900,6.96
2015-09-18,6.57,6.72,6.47,6.67,4300200,6.67
2015-09-17,6.29,6.38,6.16,6.31,5546100,6.31
2015-09-16,6.13,6.28,6.06,6.23,8648100,6.23
2015-09-15,5.79,5.93,5.67,5.88,6471200,5.88
2015-09-14,6.06,6.08,5.66,5.76,12580700,5.76
2015-09-11,6.14,6.18,6.00,6.13,5316700,6.13
2015-09-10,6.26,6.33,5.85,6.24,11643100,6.24
2015-09-09,6.28,6.46,6.24,6.35,5247300,6.35
2015-09-08,6.18,6.21,5.93,6.06,7707000,6.06
2015-09-04,6.20,6.45,6.14,6.41,4189800,6.41
2015-09-03,6.58,6.61,5.89,6.02,11282300,6.02
2015-09-02,6.41,6.60,6.36,6.59,3507300,6.59
2015-09-01,6.06,6.37,6.03,6.26,4743000,6.26
2015-08-31,6.37,6.53,6.22,6.25,6384300,6.25
2015-08-28,6.04,6.22,6.01,6.04,3924800,6.04
2015-08-27,6.35,6.58,6.13,6.36,6632300,6.36
2015-08-26,6.19,6.27,6.11,6.26,3870200,6.26
2015-08-25,6.33,6.50,6.17,6.18,3662900,6.18
2015-08-24,6.55,6.57,6.13,6.40,7536000,6.40
2015-08-21,5.96,6.24,5.92,6.18,5680600,6.18
2015-08-20,5.98,6.00,5.50,5.71,8175400,5.71
2015-08-19,5.90,6.07,5.86,5.98,3407400,5.98
2015-08-18,6.01,6.05,5.85,5.89,5972000,5.89
2015-08-17,5.74,5.87,5.70,5.75,14695800,5.75
2015-08-14,5.42,5.52,5.34,5.40,8734900,5.40
2015-08-13,4.90,5.52,4.88,5.39,25903200,5.39
2015-08-12,5.08,5.10,4.84,4.90,30313100,4.90
2015-08-11,5.40,5.58,5.27,5.30,8470900,5.30
2015-08-10,5.33,5.49,5.30,5.36,9829500,5.36
2015-08-07,5.61,5.82,5.47,5.60,7353500,5.60
2015-08-06,5.97,5.99,5.38,5.57,12978700,5.57
2015-08-05,5.30,5.69,5.28,5.69,9111600,5.69
2015-08-04,5.55,5.75,5.48,5.57,6864600,5.57
2015-08-03,5.96,6.21,5.87,5.90,5760500,5.90
2015-07-31,5.78,6.20,5.77,6.12,8141300,6.12
2015-07-30,5.58,5.84,5.40,5.74,9696200,5.74
2015-07-29,5.41,5.48,5.27,5.34,6410100,5.34
2015-07-28,5.65,5.76,5.40,5.60,6280300,5.60
2015-07-27,5.70,5.78,5.57,5.75,6104200,5.75
2015-07-24,5.73,5.85,5.64,5.79,10493200,5.79
2015-07-23,5.10,5.62,4.86,5.55,27032400,5.55
2015-07-22,5.13,5.41,5.09,5.18,12670900,5.18
2015-07-21,5.23,5.35,5.17,5.19,11857000,5.19
2015-07-20,5.67,5.70,5.27,5.51,19591300,5.51
2015-07-17,5.41,5.51,5.23,5.25,10742500,5.25
2015-07-16,5.24,5.49,5.14,5.37,17976300,5.37
2015-07-15,5.29,5.41,5.14,5.22,20183000,5.22
2015-07-14,5.25,5.64,5.22,5.58,10101200,5.58
2015-07-13,5.51,5.57,5.30,5.45,21796700,5.45
2015-07-10,5.92,6.05,5.74,5.99,9150500,5.99
2015-07-09,6.60,6.86,6.21,6.27,7757800,6.27
2015-07-08,6.14,6.63,6.14,6.54,5710100,6.54
2015-07-07,6.31,6.54,6.27,6.30,8442300,6.30
2015-07-06,6.10,6.12,5.92,6.06,10488900,6.06
2015-07-02,5.70,5.76,5.30,5.67,23133000,5.67
2015-07-01,5.75,6.07,5.74,5.96,8457200,5.96
2015-06-30,6.13,6.13,5.63,5.70,10520400,5.70
2015-06-29,5.75,6.07,5.58,5.84,10940100,5.84
2015-06-26,5.88,6.06,5.73,5.98,10498000,5.98
2015-06-25,5.81,5.94,5.49,5.56,18124700,5.56
2015-06-24,6.15,6.28,5.97,6.03,5288800,6.03
2015-06-23,5.88,6.37,5.84,6.24,6329300,6.24
2015-06-22,6.25,6.27,6.11,6.18,7053700,6.18
2015-06-19,6.08,6.11,5.59,5.75,7782100,5.75
2015-06-18,5.60,5.98,5.41,5.87,17097200,5.87
2015-06-17,5.16,5.58,5.00,5.46,13232600,5.46
2015-06-16,5.51,5.69,5.29,5.29,11210900,5.29
2015-06-15,5.72,5.78,5.30,5.31,11771600,5.31
2015-06-12,5.96,6.29,5.85,6.21,10684500,6.21
2015-06-11,5.38,5.84,5.30,5.81,11956500,5.81
2015-06-10,5.55,5.81,5.37,5.43,10117700,5.43
2015-06-09,6.03,6.11,5.67,5.76,11852900,5.76
2015-06-08,7.03,7.16,6.67,6.74,6712700,6.74
2015-06-05,7.77,7.82,7.56,7.78,4480500,7.78
2015-06-04,7.45,7.96,7.11,7.43,10336300,7.43
2015-06-03,7.17,7.45,7.12,7.35,6113800,7.35
2015-06-02,7.42,7.70,6.84,6.87,8924600,6.87
2015-06-01,7.42,7.43,7.10,7.23,6267500,7.23
2015-05-29,7.09,7.41,7.03,7.24,9220200,7.24
2015-05-28,6.38,6.89,6.28,6.77,14027200,6.77
2015-05-27,6.01,6.13,5.88,5.99,8224600,5.99
2015-05-26,5.96,6.14,5.89,5.95,9937500,5.95
2015-05-22,5.34,5.59,5.25,5.56,8992500,5.56
2015-05-21,5.13,5.26,4.75,5.13,11177100,5.13
2015-05-20,5.00,5.43,4.93,5.26,10046900,5.26
2015-05-19,4.54,5.23,4.45,5.06,16385600,5.06
2015-05-18,4.74,4.97,4.69,4.82,6202100,4.82
2015-05-15,4.89,5.05,4.75,4.83,9030100,4.83
2015-05-14,5.45,5.51,4.84,4.88,17222000,4.88
2015-05-13,5.61,5.69,5.10,5.27,10132400,5.27
2015-05-12,5.60,5.64,5.31,5.48,12641700,5.48
2015-05-11,5.77,6.15,5.64,6.03,7349800,6.03
2015-05-08,5.80,6.05,5.64,5.75,13990300,5.75
2015-05-07,6.26,6.88,6.14,6.65,11928200,6.65
2015-05-06,6.38,6.50,6.12,6.48,6025000,6.48
2015-05-05,6.32,6.50,6.16,6.34,6048300,6.34
2015-05-04,6.54,6.63,6.13,6.22,8939200,6.22
2015-05-01,6.67,6.71,6.30,6.47,11121400,6.47
2015-04-30,8.28,8.42,6.51,6.81,26860500,6.81
2015-04-29,8.42,8.47,7.92,8.15,8454800,8.15
2015-04-28,8.79,8.99,8.60,8.74,4477800,8.74
2015-04-27,9.12,9.19,8.89,8.96,6530200,8.96
2015-04-24,8.22,8.52,8.10,8.35,6078100,8.35
2015-04-23,8.12,8.40,7.96,8.22,9871900,8.22
2015-04-22,7.77,7.80,7.54,7.73,5037100,7.73
2015-04-21,7.97,8.14,7.80,8.00,4204000,8.00
2015-04-20,8.28,8.38,8.11,8.30,7880000,8.30
2015-04-17,7.39,7.60,7.26,7.52,5386700,7.52
2015-04-16,8.10,8.40,7.17,7.20,12122400,7.20
2015-04-15,8.29,8.32,7.74,7.95,7102700,7.95
2015-04-14,8.50,8.77,8.43,8.64,5233800,8.64
2015-04-13,8.69,9.09,8.50,8.85,4965300,8.85
2015-04-10,8.47,8.86,8.41,8.78,4253100,8.78
2015-04-09,7.82,8.66,7.71,8.49,11255700,8.49
2015-04-08,7.58,7.87,7.50,7.78,6019700,7.78
2015-04-07,7.50,7.52,7.13,7.45,5328800,7.45
2015-04-06,7.58,7.65,7.46,7.53,5266700,7.53
2015-04-02,7.89,7.94,7.03,7.11,14681400,7.11
2015-04-01,7.96,8.26,7.92,8.06,10142400,8.06
2015-03-31,7.64,7.80,7.50,7.80,4630500,7.80
2015-03-30,7.53,7.79,7.48,7.76,7245500,7.76
2015-03-27,7.67,7.95,7.62,7.64,8691700,7.64
2015-03-26,6.88,7.50,6.82,7.41,15236400,7.41
2015-03-25,6.68,7.03,6.68,6.90,7815700,6.90
2015-03-24,6.44,6.68,6.33,6.54,7103600,6.54
2015-03-23,7.00,7.15,6.72,6.84,11540800,6.84
2015-03-20,5.96,6.66,5.70,6.53,14352700,6.53
2015-03-19,6.21,6.57,6.15,6.34,13771400,6.34
2015-03-18,6.61,6.65,5.76,5.90,14586900,5.90
2015-03-17,6.34,6.74,6.19,6.25,11563300,6.25
2015-03-16,7.41,7.45,7.01,7.02,7672800,7.02
2015-03-13,7.37,7.40,6.93,7.10,11381400,7.10
2015-03-12,6.40,7.08,6.20,6.96,14125100,6.96
2015-03-11,6.82,6.92,6.30,6.44,14408400,6.44
2015-03-10,7.25,7.36,7.08,7.22,7121200,7.22
2015-03-09,7.41,7.63,7.15,7.47,12072200,7.47
2015-03-06,6.68,6.80,6.29,6.51,8947300,6.51
2015-03-05,7.00,7.11,6.32,6.49,18020100,6.49
2015-03-04,7.05,7.29,6.95,7.02,10594300,7.02
2015-03-03,7.61,7.82,7.32,7.54,9309700,7.54
2015-03-02,7.31,7.69,7.18,7.59,8547400,7.59
