Date,Open,High,Low,Close,Volume,Adj Close
2016-03-21,24.67,24.889999,21.67,22.07,4392400,22.07
2016-03-18,26.709999,26.950001,24.709999,25.01,4104000,25.01
2016-03-17,25.01,27.01,22.99,26.440001,4565800,26.440001
2016-03-16,22.93,24.700001,22.66,24.24,4033900,24.24
2016-03-15,22.889999,22.889999,22.889999,22.889999,000,22.889999
2016-03-14,22.540001,24.129999,22.110001,22.889999,3441200,22.889999
2016-03-11,0.93,0.96,0.89,0.91,2184800,22.749999
2016-03-10,0.88,0.90,0.80,0.90,2294100,22.499999
2016-03-09,0.80,0.86,0.78,0.83,2038000,20.75
2016-03-08,0.77,0.79,0.73,0.78,1841800,19.50
2016-03-07,0.71,0.81,0.70,0.78,3268000,19.50
2016-03-04,0.69,0.72,0.67,0.72,2372600,18.00
2016-03-03,0.68,0.75,0.67,0.67,3725900,16.75
2016-03-02,0.74,0.79,0.72,0.72,2529600,18.00
2016-03-01,0.78,0.86,0.74,0.82,1840600,20.50
2016-02-29,0.77,0.82,0.76,0.76,2493300,19.00
2016-02-26,0.88,0.91,0.81,0.90,1608300,22.499999
2016-02-25,0.92,0.92,0.83,0.88,2350700,22.00
2016-02-24,0.96,1.01,0.95,0.97,792700,24.249999
2016-02-23,1.01,1.01,0.94,0.96,1277500,23.999999
2016-02-22,1.01,1.06,1.00,1.01,1783200,25.249999
2016-02-19,1.10,1.10,1.01,1.01,2051600,25.249999
2016-02-18,1.18,1.24,1.13,1.14,2698200,28.499999
2016-02-17,1.21,1.32,1.19,1.30,1533900,32.499999
2016-02-16,1.22,1.24,1.17,1.24,1734900,30.999999
2016-02-12,1.37,1.37,1.30,1.34,1324800,33.499999
2016-02-11,1.52,1.54,1.36,1.39,1104600,34.749999
2016-02-10,1.51,1.53,1.43,1.50,876400,37.499999
2016-02-09,1.62,1.68,1.57,1.58,803000,39.499999
2016-02-08,1.72,1.76,1.62,1.66,1861700,41.499999
2016-02-05,1.47,1.56,1.46,1.51,1870800,37.749999
2016-02-04,1.39,1.47,1.31,1.38,2858900,34.499999
2016-02-03,1.46,1.56,1.39,1.52,1618600,37.999999
2016-02-02,1.43,1.51,1.35,1.50,3553800,37.499999
2016-02-01,1.81,1.83,1.72,1.78,1658800,44.499999
2016-01-29,2.15,2.25,2.11,2.23,1314500,55.749999
2016-01-28,1.70,2.01,1.69,2.01,1669400,50.249999
2016-01-27,1.87,1.97,1.78,1.82,969400,45.499999
2016-01-26,1.85,1.90,1.73,1.83,1018200,45.749999
2016-01-25,1.70,1.87,1.65,1.79,1110700,44.749999
2016-01-22,1.79,1.87,1.75,1.84,985200,45.999999
2016-01-21,1.81,1.92,1.67,1.84,1508500,45.999999
2016-01-20,1.75,1.81,1.65,1.78,557500,44.499999
2016-01-19,1.85,1.87,1.69,1.71,821700,42.749999
2016-01-15,1.85,1.85,1.72,1.78,864600,44.499999
2016-01-14,2.09,2.14,1.86,1.89,1499400,47.249999
2016-01-13,2.20,2.35,2.18,2.25,769500,56.249999
2016-01-12,2.32,2.36,2.13,2.18,1116500,54.499999
2016-01-11,2.66,2.67,2.51,2.55,782900,63.749999
2016-01-08,2.66,2.96,2.62,2.90,1546700,72.499998
2016-01-07,2.33,2.72,2.33,2.60,2225400,64.999999
2016-01-06,2.44,2.54,2.17,2.28,1718300,56.999999
2016-01-05,2.22,2.48,2.21,2.43,1362800,60.749999
2016-01-04,2.52,2.58,2.29,2.34,1473900,58.499999
2015-12-31,2.43,2.58,2.37,2.44,1581900,60.999999
2015-12-30,2.25,2.27,2.03,2.24,1455400,55.999999
2015-12-29,2.62,2.68,2.43,2.47,2544500,61.749999
2015-12-28,2.05,2.33,2.03,2.30,2035900,57.499999
2015-12-24,1.83,1.85,1.71,1.79,1111900,44.749999
2015-12-23,1.53,1.78,1.47,1.72,1461000,42.999999
2015-12-22,1.50,1.61,1.48,1.55,1281300,38.749999
2015-12-21,1.46,1.66,1.44,1.63,2411300,40.749999
2015-12-18,1.41,1.41,1.32,1.35,900000,33.749999
2015-12-17,1.41,1.47,1.33,1.34,1534000,33.499999
2015-12-16,1.40,1.47,1.29,1.42,1249400,35.499999
2015-12-15,1.47,1.48,1.34,1.35,1283600,33.749999
2015-12-14,1.55,1.58,1.48,1.57,1002600,39.249999
2015-12-11,1.77,1.84,1.73,1.75,774000,43.749999
2015-12-10,1.93,2.09,1.84,1.84,993700,45.999999
2015-12-09,2.07,2.12,1.95,2.00,555800,49.999999
2015-12-08,1.97,2.06,1.91,2.04,596100,50.999999
2015-12-07,2.21,2.22,1.99,2.02,977300,50.499999
2015-12-04,2.40,2.44,2.35,2.39,426200,59.749999
2015-12-03,2.25,2.45,2.24,2.41,913000,60.249999
2015-12-02,2.46,2.47,2.29,2.35,989500,58.749999
2015-12-01,2.60,2.66,2.44,2.56,732400,63.999999
2015-11-30,2.53,2.64,2.52,2.55,531600,63.749999
2015-11-27,2.59,2.63,2.49,2.58,1032100,64.499999
2015-11-25,2.80,3.00,2.74,2.82,728700,70.499998
2015-11-24,2.71,2.97,2.70,2.88,820100,71.999998
2015-11-23,2.87,3.02,2.80,2.92,726300,72.999998
2015-11-20,3.03,3.06,2.80,2.82,1917400,70.499998
2015-11-19,3.55,3.73,3.24,3.24,1285600,80.999998
2015-11-18,3.79,3.83,3.59,3.63,458000,90.749998
2015-11-17,3.60,3.92,3.56,3.82,489300,95.499998
2015-11-16,3.79,4.02,3.74,3.80,553800,94.999998
2015-11-13,3.63,3.86,3.55,3.85,836400,96.249998
2015-11-12,3.45,3.57,3.39,3.55,577500,88.749998
2015-11-11,3.69,3.73,3.43,3.53,538200,88.249998
2015-11-10,3.78,3.84,3.65,3.70,492100,92.499998
2015-11-09,3.64,3.66,3.44,3.60,644800,89.999998
2015-11-06,3.71,4.05,3.66,3.81,910700,95.249998
2015-11-05,3.63,3.98,3.60,3.93,1262700,98.249998
2015-11-04,3.59,3.67,3.40,3.48,720500,86.999998
2015-11-03,3.34,3.55,3.32,3.47,661700,86.749998
2015-11-02,3.37,3.50,3.32,3.40,865400,84.999998
2015-10-30,3.27,3.78,3.25,3.73,1377700,93.249998
2015-10-29,3.78,3.96,3.32,3.41,1389300,85.249998
2015-10-28,3.63,3.71,3.45,3.60,1390700,89.999998
2015-10-27,3.98,4.21,3.89,3.97,818900,99.249998
2015-10-26,4.30,4.31,3.84,3.98,1802400,99.499998
2015-10-23,4.87,4.95,4.63,4.72,856000,117.999997
2015-10-22,5.33,5.48,5.06,5.19,568000,129.749997
2015-10-21,5.49,5.50,5.24,5.35,872400,133.749997
2015-10-20,5.88,5.95,5.72,5.85,300700,146.249997
2015-10-19,5.76,5.90,5.67,5.71,334300,142.749997
2015-10-16,5.78,5.81,5.62,5.65,560400,141.249997
2015-10-15,6.43,6.52,5.86,5.94,709500,148.499997
2015-10-14,6.17,6.33,6.03,6.29,393200,157.249996
2015-10-13,6.21,6.45,6.04,6.14,456700,153.499997
2015-10-12,6.25,6.40,6.15,6.37,313800,159.249996
2015-10-09,6.09,6.24,6.02,6.22,343900,155.499997
2015-10-08,6.05,6.27,5.98,6.02,519600,150.499997
2015-10-07,6.21,6.32,5.90,5.96,659000,148.999997
2015-10-06,5.74,6.00,5.68,5.89,424900,147.249997
2015-10-05,5.82,6.03,5.69,5.82,597600,145.499997
2015-10-02,5.59,5.85,5.53,5.77,457300,144.249997
2015-10-01,6.03,6.19,5.54,5.63,1046800,140.749997
2015-09-30,6.79,6.79,6.21,6.35,934300,158.749996
2015-09-29,7.05,7.16,6.77,6.81,629100,170.249996
2015-09-28,7.86,7.86,7.31,7.49,672300,187.249996
2015-09-25,7.25,7.26,6.94,7.17,499100,179.249996
2015-09-24,7.20,7.56,6.90,7.53,562800,188.249996
2015-09-23,7.34,7.46,7.18,7.25,241500,181.249996
2015-09-22,7.31,7.41,7.24,7.27,284500,181.749996
2015-09-21,7.23,7.48,7.20,7.32,636900,182.999996
2015-09-18,7.76,7.89,7.58,7.64,716200,190.999996
2015-09-17,8.12,8.28,8.01,8.08,554500,201.999995
2015-09-16,8.35,8.45,8.13,8.20,625500,204.999995
2015-09-15,8.89,9.05,8.65,8.71,240500,217.749995
2015-09-14,8.51,9.05,8.48,8.91,448100,222.749995
2015-09-11,8.39,8.60,8.35,8.42,388700,210.499995
2015-09-10,8.24,8.76,8.15,8.27,667000,206.749995
2015-09-09,1.65,1.66,1.60,1.62,2022500,202.50001
2015-09-08,1.68,1.75,1.67,1.72,285400,215.00001
2015-09-04,1.69,1.71,1.61,1.63,263600,203.75001
2015-09-03,1.61,1.78,1.60,1.73,586400,216.25001
2015-09-02,1.65,1.67,1.60,1.60,330000,200.000009
2015-09-01,1.75,1.76,1.66,1.69,194600,211.25001
2015-08-31,1.67,1.71,1.62,1.70,370700,212.50001
2015-08-28,1.76,1.77,1.71,1.75,233700,218.75001
2015-08-27,1.69,1.74,1.62,1.67,434600,208.75001
2015-08-26,1.73,1.75,1.70,1.70,148400,212.50001
2015-08-25,1.70,1.73,1.65,1.73,263400,216.25001
2015-08-24,1.63,1.75,1.62,1.68,2266800,210.00001
2015-08-21,1.82,1.83,1.72,1.73,458500,216.25001
2015-08-20,1.81,1.96,1.81,1.89,548400,236.250011
2015-08-19,1.84,1.85,1.78,1.81,1613300,226.250011
2015-08-18,1.80,1.86,1.79,1.84,609800,230.000011
2015-08-17,1.90,1.91,1.85,1.88,1106500,235.000011
